method,provider_id,provider_name,transport_type,success_rate,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,avg_latency_ms,total_calls,last_updated
eth_maxPriorityFeePerGas,ethereum_publicnode,PublicNode Ethereum,ws,1,113,135,272,272,139.5,6,-576459012209
eth_maxPriorityFeePerGas,0xrpc_ethereum,0xRPC Ethereum,http,1,210,624,624,628,345.73,11,-576459399421
eth_maxPriorityFeePerGas,alchemy_ethereum,Alchemy Ethereum,http,1,91,107,317,317,123.57,7,-576458961612
eth_maxPriorityFeePerGas,ethereum_chainstack,Chainstack Ethereum,http,1,144,184,184,195,148.23,13,-576459020312
eth_maxPriorityFeePerGas,ethereum_cloudflare,Cloudflare Ethereum,http,0,0,0,0,0,0,14,-576458967762
eth_maxPriorityFeePerGas,ethereum_drpc,DRPC Ethereum,http,1,80,244,244,419,135.91,11,-576458963902
eth_maxPriorityFeePerGas,flashbots_ethereum,Flashbots Ethereum,http,1,119,194,194,252,138.55,11,-576458969410
eth_maxPriorityFeePerGas,ethereum_llamarpc,LlamaRPC,http,1,106,149,149,156,113.62,13,-576458965920
eth_maxPriorityFeePerGas,ethereum_merkle,Merkle Ethereum,http,1,142,245,271,376,175.88,16,-576458984063
eth_maxPriorityFeePerGas,ethereum_publicnode,PublicNode Ethereum,http,1,118,224,263,281,159.44,16,-576458967842
